0.49, 17.78, 10.97
55.88, 81.34, 12.22
44.24, 83.82, 12.34
37.25, 68.96, 11.90
28.20, 65.73, 11.93
19.20, 61.49, 11.99
8.11, 57.87, 12.18
18.58, 39.32, 11.50
-5.91, 40.27, 12.30
-2.48, 28.07, 12.07
-1.49, 17.78, 12.00
55.88, 81.79, 13.35
44.24, 83.77, 13.51
36.48, 71.08, 12.97
28.52, 65.17, 12.87
19.29, 61.38, 12.98
16.71, 50.65, 12.68
20.34, 38.30, 12.15
-3.24, 39.30, 13.30
-3.03, 28.17, 13.13
-3.14, 17.78, 13.09
55.88, 80.53, 14.39
44.27, 83.60, 14.67
35.99, 72.43, 14.07
28.65, 64.95, 13.81
19.33, 61.34, 13.98
6.90, 58.88, 14.47
22.10, 37.28, 12.73
-4.30, 39.68, 14.48
-4.34, 28.40, 14.28
-2.98, 17.78, 14.12
55.88, 79.34, 15.39
44.26, 83.71, 15.86
37.04, 69.55, 14.82
28.39, 65.40, 14.81
20.85, 59.52, 14.77
16.20, 51.08, 14.53
22.06, 37.31, 13.42
-5.44, 40.10, 15.71
-4.95, 28.51, 15.40
-3.29, 17.78, 15.18
